Bezeichnung / Feldgeräte,Beschreibung
Allgemein,
Analoger Ausgang,
Analoger Eingang,
BSK,
BWW Elektroeinsatz,
Digitaler Ausgang,
Digitaler Eingang,
Druckfühler,
Presostat,
EC Ventilator,
Elektrozähler M-Bus,
Elektrozähler ModBus IP,
Elektrozähler ModBus RTU,
Entgaser,
Expansion,
Frostschutzwächter,
Fühler CO2,
Fühler Feuchte,
Fühler Temperatur,
Fühler Temperatur / Feuchte,
Fühler Temperatur / Feuchte / CO2,
Gasmelder,
Kältemaschine gross,
Kältemaschine klein,
Luftklappe 3-Punkt,
Luftklappe Stetig,
Pumpe,
Pumpe Drehzahlgeregelt Extern,
Pumpe mit SSM Modul,
Reserve,
Schalter (Beleuchtet),
Stufenschalter (1Stufig),
Thermostat,
VAV - Mod-Bus,
VAV,
Ventil 2-Punkt,
Ventil 3-Punkt,
Ventil Stetig,
Ventilator 1 Stufig,
Ventilator 2 Stufig,
Ventilator FU,
Wärmezähler M-Bus,
Wetterstation,
WRG Rotor,
Zähl Eingang,
Rückkühler,
5WG1140-1AB13,Linien-/Bereichskoppler N 140/13
5WG1141-1AB03,N141/03 DALI Gateway plus
5WG1141-1AB21,N141/21 DALI Gateway Twin plus
5WG1141-1AB31,N141/31 DALI Gateway Twin
5WG1141-2AB71,DALI-Tastereingang 4fach
5WG1143-1AB01,IP Gateway KNX/BACnet N143
5WG1146-1AB02,IP Router  N146/02
5WG1146-1AB03,5WG1146-1AB03 /N 146/03 IP Router
5WG1148-1AB12,USB Schnittstelle N148/12
5WG1148-1AB22,IP SCHNITTSTELLE N148/22
5WG1152-1AB01,IP Control Center N152
5WG1190-8AD01,Überspannungsschutz 190
5WG1193-8AB01,Busklemme 193
5WG1211-2DB01,Tastsensor Glas Grundmodul 1fach
5WG1211-8DB11,"Tastsensor Glas Abdeckung 1f, weiss"
5WG1211-8DB11/CH,"Tastsensor Glas 1fach, weiss"
5WG1211-8DB21,"Tastsensor Glas Abdeckung 1f, schwarz"
5WG1211-8DB21/CH,"Tastsensor Glas 1fach, schwarz"
5WG1212-2DB01,Tastsensor Glas Grundmodul 2fach
5WG1212-8DB11,"Tastsensor Glas Abdeckung 2f, weiss"
5WG1212-8DB11/CH,"Tastsensor Glas 2fach, weiss"
5WG1212-8DB21,"Tastsensor Glas Abdeckung 2f, schwarz"
5WG1212-8DB21/CH,"Tastsensor Glas 2fach, schwarz"
5WG1213-2DB01,Tastsensor Glas Grundmodul 4fach
5WG1213-8DB11,"Tastsensor Glas Abdeckung 4f, weiss"
5WG1213-8DB11/CH,"Tastsensor Glas 4fach, weiss"
5WG1213-8DB21,"Tastsensor Glas Abdeckung 4f, schwarz"
5WG1213-8DB21/CH,"Tastsensor Glas 4fach, schwarz"
5WG1220-2AB21,UP 220/21 2X In/Out
5WG1220-2DB31,Tasterschnittstelle UP 220/31 4X In/Out
5WG1221-2DB12,"Taster 1-fach UP221/2 TW,"
5WG1221-2DB13,"Taster 1-fach UP221/3 mit LED, TW"
5WG1221-2DB32,Taster 1-fach UP221/2 ALU
5WG1221-2DB33,"Taster 1-fach UP221/3 mit LED, ALU"
5WG1222-2DB12,Taster 2-fach UP222/2 TW
5WG1222-2DB13,"Taster 2-fach UP222/3 mit LED, TW"
5WG1222-2DB32,Taster 2-fach UP222/2 ALU
5WG1222-2DB33,"Taster 2-fach UP222/3 mit LED, ALU"
5WG1223-2DB12,Taster 3-fach UP223/2 TW
5WG1223-2DB13,"Taster 3-fach UP223/3 mit LED, TW"
5WG1223-2DB32,Taster 3-fach UP223/2 ALU
5WG1223-2DB33,"Taster 3-fach UP223/3 mit LED, ALU"
5WG1227-2AB11,Raumbediengerät UP227
5WG1227-2AB11/CH,"RaumbediengerätUP227,60x60adapt+m.Platte"
5WG1237-2KB11,Raumtemperaturregler 237K
5WG1237-2KB11/CH,"Raumtemp.regler 237K, BTM,60x60 adapt"
5WG1254-2KB13,Raumtemperaturregler 254KB
5WG1254-3EY02,Kombisensor AP 254/02
5WG1255-2DB21,"Helligkeitsmelder UP 255D21, ws"
5WG1255-7AB11,IR-Fernbedienung S 255/11
5WG1257-3AB22,AP 257/22 Wetterzentrale (GPS)
5WG1257-3AB51,"Wetterstation AP 257/51, 3 Fassaden"
5WG1257-3AB61,"Wetterzentrale GPS AP 257/61, 8 Fassaden"
5WG1258-2DB12,"Präs.meld UP 258D12 Desk, ws"
5WG1258-2DB12,"Präs.meld UP 258D12 Desk, ws"
5WG1258-2EB22,"Präs.meld UP 258E22 Desk m.KS, ws"
5WG1258-7EB01,Gehäuse AP 258E01 für Präs.meld
